ⲡ ⲛⲟⲩⲧⲉ ⲛⲁⲓ	person	person
ⲡⲉⲕ ϣⲟⲩϣⲟⲩ	abstract	abstract
ϩⲏⲧ ⲧⲏⲣ ϥ	abstract	abstract
ⲁϣⲏ ⲛ ϩⲏⲃⲥ	object	object@
ⲁⲕⲁⲑⲁⲣⲧⲟⲛ ⲙ ⲡⲛⲉⲩⲙⲁ	abstract	abstract
ⲡ ⲣⲟ ⲛ ⲛ ⲉⲧ ⲉⲓⲛⲉ ⲙⲙⲟ ⲕ	object	object
ⲡ ϩⲏⲃⲥ	object	object
ⲟⲩ ⲛⲟⲩⲧⲉ	person	person
ⲧ ⲉⲣⲏⲙⲟⲥ ⲉⲧ ϣⲟⲟⲡ ⲙⲛ ⲟⲩⲟⲛ ⲛⲓⲙ ⲉⲧ ⲛⲁ ⲉⲡⲓⲕⲁⲗⲉⲓ ⲙⲙⲟ ϥ	place	place
ⲉⲧ ϩⲏⲡ ⲛⲧⲉ ⲡ ⲛⲟⲩⲧⲉ	abstract	abstract
ⲛⲉⲓ ϩⲃⲏⲩⲉ ⲛ ⲟⲩⲱⲧ	abstract	abstract@
ϩⲃⲏⲩⲉ ⲉⲛⲧ ⲁ ⲁ ⲩ ⲙⲛ ⲧⲟⲩ ϣⲱⲙⲉ	abstract	abstract
ⲩ ⲡⲟⲣⲛⲉⲓⲁ ⲛϩⲏⲧ ⲧⲏⲩⲧⲛ	abstract	abstract
ⲇⲓⲕⲁⲓⲟⲥ ⲧⲏⲣ ⲟⲩ ⲉ ⲩ ⲥⲟⲟϩ ⲧⲏⲣ ⲟⲩ ⲉ ⲩ ⲁϩⲉ ⲣⲁⲧ ⲟⲩ	person	person@
ⲛⲉⲕ ⲙⲉⲉⲩⲉ	abstract	abstract
ϩⲏ ⲙ ⲡ ⲕⲟⲙⲉⲥ	abstract	abstract
ⲡⲉ ϩⲟⲟⲩ ⲉⲧ ⲕ ⲛⲁ ϫⲓ ⲛ ⲧ ⲥⲱϣⲉ ⲛⲧⲟⲟⲧ ⲥ ⲛ ⲛⲟⲉⲙⲓⲛ ⲁⲩⲱ ⲛⲧⲟⲟⲧ ⲥ ⲛ ϩⲣⲟⲩⲑ ⲧ ⲙⲱⲁⲃⲓⲧⲏⲥ ⲧ ϩⲓⲙⲉ ⲙ ⲡ ⲉⲛⲧ ⲁ ϥ ⲙⲟⲩ	time	time
ⲱⲛⲉ ⲛⲓⲙ	object	object
ⲣⲱⲙⲉ ⲛⲧ ⲁ ϥ ⲉⲓ ϣⲁⲣⲟ ⲓ ⲛ ϣⲟⲣⲡ	person	person@
ⲡ ⲉⲧ ⲛⲟⲩϫⲉ ⲛ ⲧⲁⲓ ⲥⲁⲃⲟⲗ ⲙⲙⲟ ϥ	person	person
ⲡ ⲁϣⲁⲓ ⲛ ⲛ ⲧⲏⲩ ⲛⲧ ⲁ ⲩ ⲉⲓ ⲉϫⲱ ⲟⲩ	abstract	abstract
ⲡⲓ ⲑⲁⲃ ⲛ ⲁⲥ	substance	substance@
ⲛⲉⲓ ⲕⲟⲟⲩⲉ	object	object
ⲕⲟⲥⲙⲟⲥ ⲧⲏⲣ ϥ	place	place
ⲡ ⲕⲱϩⲧ ⲉⲧⲉ ⲙⲉ ϥ ⲱϣⲙ	object	object
ⲛ ⲣⲱⲟⲩ	object	object
ⲛ ⲉⲧ ϩⲓϩⲟⲩⲛ ⲉ ⲩ ⲥⲃⲧⲱⲧ ⲟⲩⲃⲉ ⲡ ⲡⲟⲗⲉⲙⲟⲥ ⲙ ⲡ ϫⲁϫⲉ	abstract	abstract
ⲉⲧ ⲟⲩⲱϣ	person	person
ϩⲃⲏⲩⲉ ⲙ ⲙⲛⲧⲣⲉϥϩⲉⲧⲃⲯⲩⲭⲏ	abstract	abstract
ⲛ ⲉⲧ ϥⲓ ⲙ ⲡⲉⲩ ⲣⲟⲟⲩϣ	person	person
ⲧⲉⲕ ϭⲓⲛⲉⲓ ⲉϩⲟⲩⲛ ϩⲓⲧⲙ ⲡ ⲣⲟ	event	event
ⲙⲛⲧⲛⲟϭ ⲙ ⲡ ϣⲁϫⲉ ⲙ ⲡⲉ ⲡⲣⲟⲫⲏⲧⲏⲥ	abstract	abstract
ⲛⲉϥ ⲁⲅⲅⲉⲗⲟⲥ ⲙ ⲡⲛⲉⲩⲙⲁ ⲕⲁⲧⲁ ⲧ ϩⲉ ⲉⲧ ⲥⲏϩ	person	person
ⲣⲉϥⲣⲛⲟⲃⲉ ⲙ ⲡⲁⲣⲁ ⲟⲩⲟⲛ ⲛⲓⲙ	person	person
